date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:19	39883/39883	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Apr%202024%2012:18:19%20GMT	https://www.pking88.com/b/vn	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/vn.html	(from )
19:18:20	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Apr%202024%2012:18:19%20GMT	https://www.pking88.com/robots.txt		(from )
19:18:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:20%20GMT	http://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/css/login.1be73.delayed	(from https://www.pking88.com/b/vn)
19:18:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2012:18:22%20GMT	http://i.nvxcdn.com/resb/viva88/common/images/favicon.ico?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/faviconbe73.ico	(from https://www.pking88.com/b/vn)
19:18:22	131280/131280	---M-Z	200	added ('OK')	text/css	etag:%22806e3a4cdf6ada1:0%22	https://i.nvxcdn.com/resb/viva88/common/css/login.css?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/css/loginbe73.css	(from https://www.pking88.com/b/vn)
19:18:23	629/629	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22b07e8ff2ce2cda1:0%22	https://i.nvxcdn.com/resb/viva88/common/images/favicon.ico?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/i.nvxcdn.com/resb/viva88/common/images/faviconbe73.ico	(from https://www.pking88.com/b/vn)
19:18:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2004%20Apr%202024%2012:18:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	/Users/manh.nguyen/websites/soccer-play/www.googletagmanager.com/gtm.55445.delayed	(from https://www.pking88.com/b/vn)
19:18:26	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.pking88.com/b/vn)
19:18:28	69246/69246	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210e7e-18e82db4d10%22	https://www.pking88.com/b/scripts/GestureClass.js?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/scripts/GestureClassbe73.js	(from https://www.pking88.com/b/vn)
19:18:28	84380/84380	---MCZ	200	added ('OK')	application/javascript	etag:W/%221499c-18e82db4d10%22	https://www.pking88.com/b/scripts/jquery-2.1.4.min.js?v=20240328022156	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/scripts/jquery-2.1.4.minbe73.js	(from https://www.pking88.com/b/vn)
19:18:29	3811/3811	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee3-18e82dd6ff0%22	https://www.pking88.com/b/_next/static/chunks/webpack-d1910b1a8de6a091.js	/Users/manh.nguyen/websites/soccer-play/www.pking88.com/b/_next/static/chunks/webpack-d1910b1a8de6a091.js	(from https://www.pking88.com/b/vn)
